text,label
I need to call my sister later to check in.,0
Summarize the latest news.,1
Zip zap zoom.,0
What’s playing at the cinema?,1
Do you believe in magic?,0
How many steps have I taken today?,1
What’s the first thing on the agenda?,0
Endless cycles of none.,0
I guess we shall see.,0
Navigate home.,1
What’s the weather in Tokyo?,1
Shade the light's dark.,0
I feel like taking a nap.,0
Where are my keys?,0
Order my usual groceries.,1
What's the difference between a crocodile and an alligator?,1
In the edges of middle.,0
How do you feel about this weather?,0
Calculate the square root of 64.,1
Enable Bluetooth.,1
Where’s the nearest gas station?,1
Search for affordable hotels.,1
You know,0
What even is it?,0
Do you think it'll be warm today?,0
Give me the extended weather forecast for this week.,1
Why is this taking so long?,0
I'm not sure I follow your logic.,0
Can you assist with the documents?,0
This pattern is quite intricate.,0
Far and near likewise.,0
Initiate a group call with the sales team.,1
"In sync, out of time.",0
Do you want to join us?,0
What time does the show start?,0
What’s the weather in Paris?,1
Could you pass the pepper?,0
What does the word ‘optimism’ mean?,1
Can you see it now?,0
Let's tidy up later.,0
Find a yoga class nearby.,1
Mark 'buy groceries' as done on my task list.,1
I could really go for some ice cream right now.,0
What’s my next task?,1
How does this sound to you?,0
Create a note titled 'Meeting Summary' and add 'Discussed Q3 goals'.,1
What's the tallest building in the world?,1
A whisper to the beyond.,0
Remind me to buy milk.,1
I'm not really in the mood for that.,0
Add an event to my calendar.,1
"But why, if so?",0
What’s my current location?,1
"If, or, when, but.",0
Envelop the quiet noise.,0
Would you mind closing the door?,0
Presence of an absence.,0
How much time is left on my timer?,1
What is 'beautiful' in Italian?,1
Through pathways untraveled unknown.,0
Remind me to take my vitamins.,1
What does 'eloquent' mean?,1
Are you joining us for lunch?,0
Is it windy outside?,1
How much did I sleep last night?,1
What’s the address of the store?,1
I'm trying to cut down on sugar.,0
I can't wait for my vacation.,0
"Oh, that's interesting.",0
Not typically usual things.,0
Can you taste this?,0
I need to focus on my breathing.,0
Add 'book flight tickets' to my Vacation Packing list.,1
Set an alarm for this time tomorrow.,1
So this is currently,0
"On the flip, reveal.",0
Did you see the game last night?,0
"Bring me the newspaper, please.",0
Through the echoing silence.,0
What's my next medication dose?,1
Help me look for my wallet.,0
Does this look right to you?,0
Remind me to water the plants.,1
Who is the current CEO of Google?,1
"I agree, we should take a break.",0
It's a busy day today.,0
How many planets are in our solar system?,1
Play music from the artist Adele.,1
Remind me about dinner plans.,1
What’s two plus two?,1
Show me my appointments for this afternoon.,1
Transform the constant change.,0
Remind me about the dentist appointment.,1
Perhaps it's time for a change.,0
Play some ambient sounds.,1
Will be processed by LLM.,0
Is that your final answer?,0
What’s the definition of ‘curiosity’?,1
What's this song about?,0
I'm so proud of your achievement.,0
What was that noise I just heard?,0
Set a timer for eight minutes.,1
Is anyone else arriving?,0
Search for the best laptop deals.,1
This line is moving so slowly.,0
I need to debug this code.,0
In circles of straight lines.,0
Can you spare a moment?,0
This is my favorite song!,0
Start a new document titled 'Brainstorm'.,1
What are the seven wonders of the ancient world?,1
Log my sleep hours for tonight.,1
I'm just glad it's over.,0
Tell me the news headlines today.,1
What's the emergency number in this country?,1
Calculate 20% of 150.,1
Differently similar thoughts.,0
Will it rain soon?,0
Will it shift shape?,0
"Heightened low, lowered heights.",0
Cross the uncrossed line.,0
What time does the sun set today?,1
Could you give me some advice on this situation?,0
"Hang up the clothes, please.",0
What a relief that it's finally done.,0
What day of the week will Christmas be on this year?,1
Who needs help?,0
It's a long story.,0
"The world is a strange place, isn't it?",0
