text,label
xml has two relevant concepts,0
go to the credit card site and check if my application has gone through,1
"Book a flight to Phoenix for the first week of November, any airline is fine.",1
this resulted in the ansiieee 1014 1987 specification,0
1989 joined by amanda levete who arrives from richard rogers  partners to become a partner,0
My eyes feel very tired after constantly staring at the screen.,0
when should i get my tires changed again,1
how many planets have we discovered,1
these episodes were first broadcast in 1984 85,0
i need a timer set please,1
i'd like to know what my credit rating is,1
what timezone is paris in,1
The restaurant we went to had excellent service.,0
is las vegas a safe place to visit,1
the current nigerian president umaru yaradua is a native of katsina,0
please call gusto handcrafted pasta & pizza and ask them about the status of my reservation for 6:30 pm,1
he dubs the organization the underground and invites meltdown to join his elite group,0
"how can i say ""cancel my order"" in french",1
is it possible to get a credit limit increase to 3000,1
both of her american parents were originally from arkansas city kansas kansas,0
"i would like to set up a direct deposit, please tell me how",1
after four days he journeyed on to mecca,0
would you please schedule a reservation for 2 at lucky's under the name sam at 7:30pm,1
This novel offers a profound commentary on contemporary society.,0
i need an alarm to go off at 6 am,1
there are a number of notable canadian awards for literature,0
It's weird how certain songs just get stuck in your head for days.,0
help locate my phone,1
the main constituents of the university include,0
all the top world soccer news daily,0
he held this position until 1628,0
inge took over his part of the kingdom,0
the an prototypes software,0
tell me what's on the calendar for saturday,1
or an owner,0
i would love to find a few vegan restaurants in back bay,1
pang de had them both executed on the spot,0
what amount of calories are in one muffin,1
Find out the procedure for applying for a duplicate ration card.,1
Tell the electrician the switch in the living room needs replacement.,1
since then the sisters have made occasional public appearances,0
can you please dim the lights,1
the requirements of reform judaism for conversions are different,0
"The traffic this morning was unusually light, which was nice.",0
"Call the broadband service provider, my internet is down.",1
My knees make a cracking sound when I stand up after sitting for a while.,0
what is my maurices card's rewards balance,1
Verify the shipping address before dispatching the order.,1
where is starbucks,1
move 57 dollars from saving into mom,1
at what time is my flight scheduled to land,1
i want new language,1
the first fundamental form may be represented as a symmetric matrix,0
the journalist became the middleman,0
what's my apr on this card,1
"Submit your medical leave application within two days, maximum.",1
when copied and pasted  will appear as n+pq,0
Please restart your computer to apply the updates.,1
speech by the chief minister,0
i'd like to cancel the party of 7 we reserved at the olive garden,1
underlined text was presented as blue,0
the sacristan assists the painter washing his brushes,0
the hamlet name refers to the river nearby that also flows through high wycombe,0
jerome became a resident of brooklyn,0
i wanna flip a coin,1
I wonder what the weather will be like on vacation.,0
what's the runtime of all the lord of the rings movies combined,1
hows the air in my tires,1
"My power bill this month was unexpectedly high, don't know why.",0
can you tell me until what time the stock market is open,1
Play my 'Long Drive Classics' playlist on Gaana.,1
an unknown sample gives a value of 834,0
i need the cooking length for a turkey,1
italic = tournaments held before present gold cup,0
I often wonder how these decisions are actually made.,0
and from a controversy,0
"The project timeline looks tight; please provide an update on your tasks, and we'll need to prioritize deliverables.",1
fusors can also use particle accelerators rather than electric grids,0
chesterton were low,0
at how many miles am i required to get my oil changed,1
three taxiways are situated nearby,0
move 100 dollars from my savings to my checking,1
goodbye to you,1
was my last oil change on wednesday,1
a major reconstruction is underway,0
"My mobile internet pack is finishing too quickly these days, what to do.",0
some are surrounded by moats,0
fbi crime statistics for ohio by city,0
"sorry, can you speak a little quicker, please",1
Book a consultation with Dr. Evans.,1
Set a notification to call the internet provider if speed drops below certain limit.,1
please reset your factory settings,1
"Hey Siri, what's the score of the India vs Australia cricket match?",1
Tell the security to restrict entry after 10 PM tonight for visitors.,1
This area is known for its excellent bird-watching opportunities.,0
What's the current time in New York City?,1
i want to figure out how to do an oil change on my car,1
the conservative strategy of going negative appeared to be working,0
how long will it take to get seated at needham's,1
the usually non brings,0
7 air servicing unit afb hoedspruit,0
Transfer all active project files to the new shared drive by tomorrow.,1
what kind of pets live with you,1
what are the benefits of completing college,1
i want to know all about trivia for the office,1
how does a optical mouse work,1
